"state","t","begin","end","pollster","polltype","method","n_respondents","pct_clinton","n_clinton","pct_trump","n_trump","poll_day","index_s","index_p","index_m","index_pop","index_t"
"--",2016-04-24,2016-04-22,2016-04-26,"YouGov","Registered Voters","Online poll",1561,0.518072289156627,671,0.481927710843373,624,55,52,103,2,3,55
"--",2016-04-25,2016-04-25,2016-04-26,"Rasmussen","Likely Voters","Other",1000,0.5,380,0.5,380,56,52,81,3,2,56
"--",2016-04-25,2016-04-23,2016-04-27,"Ipsos","Registered Voters","Online poll",1756,0.544303797468354,755,0.455696202531646,632,56,52,46,2,3,56
"--",2016-04-25,2016-04-22,2016-04-28,"IBD","Registered Voters","Live phone component",814,0.540229885057471,383,0.459770114942529,326,56,52,43,1,3,56
"--",2016-04-27,2016-04-27,2016-04-28,"Rasmussen","Likely Voters","Other",1000,0.4875,390,0.5125,410,58,52,81,3,2,58
"--",2016-04-28,2016-04-25,2016-05-01,"NBC","Registered Voters","Online poll",12462,0.5375,5359,0.4625,4611,59,52,65,2,3,59
"--",2016-04-29,2016-04-28,2016-05-01,"CNN","Registered Voters","Live phone component",890,0.568421052631579,481,0.431578947368421,365,60,52,19,1,3,60
"--",2016-04-30,2016-04-29,2016-05-02,"Morning Consult","Registered Voters","Online poll",1976,0.529411764705882,889,0.470588235294118,790,61,52,63,2,3,61
"--",2016-05-02,2016-04-30,2016-05-04,"Ipsos","Registered Voters","Online poll",1102,0.555555555555556,496,0.444444444444444,397,63,52,46,2,3,63
"--",2016-05-05,2016-05-02,2016-05-08,"NBC","Registered Voters","Online poll",11089,0.526881720430108,5434,0.473118279569892,4879,66,52,65,2,3,66
"--",2016-05-07,2016-05-06,2016-05-09,"PPP","Likely Voters","Other",1222,0.525,513,0.475,464,68,52,75,3,2,68
"--",2016-05-07,2016-05-06,2016-05-09,"YouGov","Registered Voters","Online poll",1612,0.51219512195122,677,0.48780487804878,645,68,52,103,2,3,68
"--",2016-05-07,2016-05-05,2016-05-09,"Morning Consult","Registered Voters","Online poll",6005,0.536585365853659,2642,0.463414634146341,2282,68,52,63,2,3,68
"--",2016-05-09,2016-05-07,2016-05-11,"Ipsos","Registered Voters","Online poll",1397,0.525641025641026,573,0.474358974358974,517,70,52,46,2,3,70
"--",2016-05-10,2016-05-10,2016-05-10,"Gravis Marketing","Registered Voters","Other",1574,0.51,803,0.49,771,71,52,38,3,3,71
"--",2016-05-12,2016-05-09,2016-05-15,"NBC","Registered Voters","Online poll",12507,0.516129032258065,6003,0.483870967741935,5628,73,52,65,2,3,73
"--",2016-05-13,2016-05-11,2016-05-16,"McLaughlin","Likely Voters","Online poll",1000,0.522727272727273,460,0.477272727272727,420,74,52,57,2,2,74
"--",2016-05-13,2016-05-11,2016-05-15,"Morning Consult","Registered Voters","Online poll",3971,0.51219512195122,1668,0.48780487804878,1588,74,52,63,2,3,74
"--",2016-05-15,2016-05-14,2016-05-17,"FOX","Registered Voters","Live phone component",1021,0.481481481481481,398,0.518518518518518,429,76,52,33,1,3,76
"--",2016-05-15,2016-05-13,2016-05-17,"CBS","Registered Voters","Live phone component",1109,0.534090909090909,521,0.465909090909091,455,76,52,13,1,3,76
"--",2016-05-16,2016-05-14,2016-05-18,"Ipsos","Registered Voters","Online poll",1397,0.532467532467532,573,0.467532467532468,503,77,52,46,2,3,77
"--",2016-05-17,2016-05-17,2016-05-18,"Rasmussen","Likely Voters","Other",1000,0.468354430379747,370,0.531645569620253,420,78,52,81,3,2,78
"--",2016-05-17,2016-05-16,2016-05-19,"Schoen","Likely Voters","Live phone component",1000,0.511627906976744,440,0.488372093023256,420,78,52,85,1,2,78
"--",2016-05-17,2016-05-15,2016-05-19,"NBC","Registered Voters","Live phone component",1000,0.51685393258427,460,0.48314606741573,430,78,52,65,1,3,78
"--",2016-05-17,2016-05-16,2016-05-19,"ABC","Registered Voters","Live phone component",829,0.488888888888889,365,0.511111111111111,381,78,52,1,1,3,78
"--",2016-05-18,2016-05-17,2016-05-20,"ARG","Registered Voters","Live phone component",980,0.5,451,0.5,451,79,52,5,1,3,79
"--",2016-05-19,2016-05-16,2016-05-22,"NBC","Registered Voters","Online poll",14513,0.522222222222222,6821,0.477777777777778,6241,80,52,65,2,3,80
"--",2016-05-21,2016-05-19,2016-05-23,"Morning Consult","Registered Voters","Online poll",2001,0.51219512195122,840,0.48780487804878,800,82,52,63,2,3,82
"--",2016-05-21,2016-05-20,2016-05-23,"YouGov","Registered Voters","Online poll",1622,0.506024096385542,681,0.493975903614458,665,82,52,103,2,3,82
"--",2016-05-23,2016-05-23,2016-05-24,"Rasmussen","Likely Voters","Other",1000,0.506329113924051,400,0.493670886075949,390,84,52,81,3,2,84
"--",2016-05-23,2016-05-21,2016-05-25,"Ipsos","Registered Voters","Online poll",1271,0.532467532467532,521,0.467532467532468,458,84,52,46,2,3,84
"--",2016-05-26,2016-05-23,2016-05-29,"NBC","Registered Voters","Online poll",12969,0.510869565217391,6095,0.489130434782609,5836,87,52,65,2,3,87
"--",2016-05-27,2016-05-24,2016-05-30,"Quinnipiac","Registered Voters","Live phone component",1561,0.512820512820513,624,0.487179487179487,593,88,52,78,1,3,88
"--",2016-05-27,2016-05-24,2016-05-30,"Morning Consult","Registered Voters","Online poll",4002,0.518518518518518,1681,0.481481481481481,1561,88,52,63,2,3,88
"--",2016-05-30,2016-05-28,2016-06-01,"Ipsos","Registered Voters","Online poll",1332,0.558441558441558,573,0.441558441558442,453,91,52,46,2,3,91
"--",2016-05-31,2016-05-31,2016-06-01,"Rasmussen","Likely Voters","Other",1000,0.506493506493506,390,0.493506493506494,380,92,52,81,3,2,92
"--",2016-06-02,2016-05-31,2016-06-05,"IBD","Registered Voters","Live phone component",828,0.506849315068493,306,0.493150684931507,298,94,52,43,1,3,94
"--",2016-06-02,2016-05-30,2016-06-05,"NBC","Registered Voters","Online poll",9240,0.521739130434783,4435,0.478260869565217,4066,94,52,65,2,3,94
"--",2016-06-03,2016-06-01,2016-06-05,"Morning Consult","Registered Voters","Online poll",4002,0.523809523809524,1761,0.476190476190476,1601,95,52,63,2,3,95
"--",2016-06-03,2016-06-02,2016-06-05,"YouGov","Registered Voters","Online poll",1636,0.517647058823529,720,0.482352941176471,671,95,52,103,2,3,95
"--",2016-06-06,2016-06-06,2016-06-07,"Rasmussen","Likely Voters","Other",1000,0.525,420,0.475,380,98,52,81,3,2,98
"--",2016-06-06,2016-06-05,2016-06-08,"FOX","Registered Voters","Live phone component",1004,0.52,392,0.48,361,98,52,33,1,3,98
"--",2016-06-06,2016-06-04,2016-06-08,"Ipsos","Registered Voters","Online poll",1440,0.552631578947368,605,0.447368421052632,490,98,52,46,2,3,98
"--",2016-06-08,2016-06-08,2016-06-09,"Morning Consult","Registered Voters","Online poll",1362,0.541666666666667,531,0.458333333333333,449,100,52,63,2,3,100
"--",2016-06-09,2016-06-06,2016-06-12,"NBC","Registered Voters","Online poll",9355,0.525,3929,0.475,3555,101,52,65,2,3,101
"--",2016-06-11,2016-06-10,2016-06-13,"Bloomberg","Likely Voters","Live phone component",750,0.569767441860465,368,0.430232558139535,278,103,52,11,1,2,103
"--",2016-06-11,2016-06-09,2016-06-13,"CBS","Registered Voters","Live phone component",1048,0.549295774647887,409,0.450704225352113,335,103,52,13,1,3,103
"--",2016-06-12,2016-06-11,2016-06-13,"CNBC","Registered Voters","Live phone component",801,0.533333333333333,320,0.466666666666667,280,104,52,18,1,3,104
"--",2016-06-13,2016-06-11,2016-06-15,"Ipsos","Registered Voters","Online poll",1323,0.573529411764706,516,0.426470588235294,384,105,52,46,2,3,105
"--",2016-06-14,2016-06-14,2016-06-15,"Rasmussen","Likely Voters","Other",1000,0.530120481927711,440,0.469879518072289,390,106,52,81,3,2,106
"--",2016-06-16,2016-06-13,2016-06-19,"NBC","Registered Voters","Online poll",16135,0.525,6777,0.475,6131,108,52,65,2,3,108
"--",2016-06-16,2016-06-16,2016-06-16,"Gravis Marketing","Registered Voters","Other",2197,0.526315789473684,1098,0.473684210526316,989,108,52,38,3,3,108
"--",2016-06-17,2016-06-15,2016-06-20,"Morning Consult","Registered Voters","Online poll",3891,0.5,1479,0.5,1479,109,52,63,2,3,109
"--",2016-06-17,2016-06-15,2016-06-19,"Monmouth University","Registered Voters","Live phone component",803,0.538461538461538,337,0.461538461538462,289,109,52,61,1,3,109
"--",2016-06-17,2016-06-16,2016-06-19,"CNN","Registered Voters","Live phone component",891,0.525,374,0.475,339,109,52,19,1,3,109
"--",2016-06-18,2016-06-17,2016-06-20,"ARG","Registered Voters","Live phone component",987,0.549450549450549,494,0.450549450549451,405,110,52,5,1,3,110
"--",2016-06-19,2016-06-18,2016-06-20,"YouGov","Registered Voters","Online poll",1011,0.524390243902439,435,0.475609756097561,394,111,52,103,2,3,111
"--",2016-06-20,2016-06-20,2016-06-21,"Rasmussen","Likely Voters","Other",1000,0.530120481927711,440,0.469879518072289,390,112,52,81,3,2,112
"--",2016-06-20,2016-06-18,2016-06-22,"Ipsos","Registered Voters","Online poll",1339,0.564102564102564,589,0.435897435897436,455,112,52,46,2,3,112
"--",2016-06-20,2016-06-15,2016-06-26,"Pew","Registered Voters","Live phone component",1655,0.555555555555556,745,0.444444444444444,596,112,52,72,1,3,112
"--",2016-06-21,2016-06-19,2016-06-23,"NBC","Registered Voters","Live phone component",1000,0.506493506493506,390,0.493506493506494,380,113,52,65,1,3,113
"--",2016-06-21,2016-06-20,2016-06-23,"ABC","Registered Voters","Live phone component",836,0.580246913580247,393,0.419753086419753,284,113,52,1,1,3,113
"--",2016-06-23,2016-06-20,2016-06-26,"NBC","Registered Voters","Online poll",5818,0.538461538461538,2444,0.461538461538462,2094,115,52,65,2,3,115
"--",2016-06-24,2016-06-21,2016-06-27,"Quinnipiac","Registered Voters","Live phone component",1610,0.513157894736842,628,0.486842105263158,596,116,52,78,1,3,116
"--",2016-06-25,2016-06-23,2016-06-28,"GQR","Likely Voters","Live phone component",900,0.564705882352941,432,0.435294117647059,333,117,52,37,1,2,117
"--",2016-06-25,2016-06-24,2016-06-27,"YouGov","Registered Voters","Online poll",1069,0.533333333333333,428,0.466666666666667,374,117,52,103,2,3,117
"--",2016-06-25,2016-06-24,2016-06-27,"Morning Consult","Registered Voters","Online poll",4001,0.52,1560,0.48,1440,117,52,63,2,3,117
"--",2016-06-26,2016-06-24,2016-06-29,"IBD","Registered Voters","Live phone component",837,0.506849315068493,310,0.493150684931507,301,118,52,43,1,3,118
"--",2016-06-27,2016-06-26,2016-06-29,"Suffolk","Likely Voters","Live phone component",1000,0.527027027027027,390,0.472972972972973,350,119,52,90,1,2,119
"--",2016-06-27,2016-06-27,2016-06-28,"PPP","Likely Voters","Other",853,0.523255813953488,384,0.476744186046512,350,119,52,75,3,2,119
"--",2016-06-27,2016-06-25,2016-06-29,"Ipsos","Registered Voters","Online poll",1247,0.575342465753425,524,0.424657534246575,387,119,52,46,2,3,119
"--",2016-06-27,2016-06-26,2016-06-28,"FOX","Registered Voters","Live phone component",1017,0.532467532467532,417,0.467532467532468,366,119,52,33,1,3,119
"--",2016-06-27,2016-06-27,2016-06-28,"Gravis Marketing","Registered Voters","Other",2162,0.520833333333333,1081,0.479166666666667,995,119,52,38,3,3,119
"--",2016-06-28,2016-06-28,2016-06-29,"Rasmussen","Likely Voters","Other",1000,0.475609756097561,390,0.524390243902439,430,120,52,81,3,2,120
"--",2016-06-30,2016-06-27,2016-07-03,"NBC","Registered Voters","Online poll",10072,0.518987341772152,4130,0.481012658227848,3827,122,52,65,2,3,122
"--",2016-07-02,2016-06-30,2016-07-04,"Morning Consult","Registered Voters","Online poll",2001,0.506666666666667,760,0.493333333333333,740,124,52,63,2,3,124
"--",2016-07-03,2016-07-01,2016-07-05,"Penn Schoen Berland","Likely Voters","Online poll",1000,0.526315789473684,400,0.473684210526316,360,125,52,71,2,2,125
"--",2016-07-03,2016-07-02,2016-07-04,"YouGov","Registered Voters","Online poll",1004,0.531645569620253,422,0.468354430379747,371,125,52,103,2,3,125
"--",2016-07-04,2016-07-02,2016-07-06,"Ipsos","Registered Voters","Online poll",1345,0.56,565,0.44,444,126,52,46,2,3,126
"--",2016-07-05,2016-07-05,2016-07-05,"Rasmussen","Likely Voters","Other",1000,0.487179487179487,380,0.512820512820513,400,127,52,81,3,2,127
"--",2016-07-07,2016-07-05,2016-07-09,"McClatchy","Registered Voters","Live phone component",1053,0.533333333333333,421,0.466666666666667,369,129,52,56,1,3,129
"--",2016-07-07,2016-07-04,2016-07-10,"NBC","Registered Voters","Online poll",7869,0.512820512820513,3148,0.487179487179487,2990,129,52,65,2,3,129
"--",2016-07-08,2016-07-07,2016-07-09,"RABA Research","Likely Voters","Online poll",781,0.585714285714286,320,0.414285714285714,226,130,52,80,2,2,130
"--",2016-07-09,2016-07-07,2016-07-11,"AP","Registered Voters","Online poll",837,0.526315789473684,335,0.473684210526316,301,131,52,4,2,3,131
"--",2016-07-09,2016-07-08,2016-07-10,"Morning Consult","Registered Voters","Online poll",2001,0.513157894736842,780,0.486842105263158,740,131,52,63,2,3,131
"--",2016-07-10,2016-07-08,2016-07-12,"CBS","Registered Voters","Live phone component",1358,0.5,489,0.5,489,132,52,13,1,3,132
"--",2016-07-10,2016-07-09,2016-07-11,"YouGov","Registered Voters","Online poll",1049,0.519480519480519,420,0.480519480519481,388,132,52,103,2,3,132
"--",2016-07-11,2016-07-09,2016-07-13,"NBC","Registered Voters","Live phone component",1000,0.539473684210526,410,0.460526315789474,350,133,52,65,1,3,133
"--",2016-07-12,2016-07-12,2016-07-13,"Rasmussen","Likely Voters","Other",1000,0.45679012345679,370,0.54320987654321,440,134,52,81,3,2,134
"--",2016-07-12,2016-07-11,2016-07-14,"ABC","Registered Voters","Live phone component",816,0.525,343,0.475,310,134,52,1,1,3,134
"--",2016-07-13,2016-07-12,2016-07-15,"ICITIZEN","Registered Voters","Online poll",1000,0.549295774647887,390,0.450704225352113,320,135,52,44,2,3,135
"--",2016-07-14,2016-07-12,2016-07-16,"Franklin Pierce","Likely Voters","Live phone component",1007,0.517647058823529,443,0.482352941176471,413,136,52,35,1,2,136
"--",2016-07-14,2016-07-11,2016-07-17,"NBC","Registered Voters","Online poll",9436,0.493670886075949,3680,0.506329113924051,3774,136,52,65,2,3,136
