n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
255,true,1.0,-898169.0187411716,909449.8847599296,-1689.861874238588,-1689.861874238588,8,false,0.0125,0.0125,true
1,true,0.0,-898169.0187411716,905446.7931477638,0.0,501241.35825113987,0,true,0.17981887619720974,0.17981887619720974,true
4,true,0.2500000000051457,-898080.5274534256,905477.1672314386,-6.849118050886318,4238.602250411175,2,true,0.03038959180427677,0.03038959180427677,true
511,true,0.9458116288985294,-899544.794427894,905483.9780872692,-0.5151903292862698,-0.6585410964908078,9,false,0.005835244427175486,0.005835244427175486,true
511,true,1.0,-899395.1806129772,906905.1845547241,-0.17539043817669153,-0.2692118169507012,9,false,0.007093678998421655,0.007093678998421655,true
255,true,0.9980341053835864,-901581.9690296663,906820.4661377064,-0.06424229999538511,-0.28958800807595253,8,false,0.011366691169808735,0.011366691169808735,true
255,true,0.7965002000827197,-901638.68199154,908907.89284764,-0.28721423260867596,0.8917075847275555,8,false,0.019537836459067235,0.019537836459067235,true
255,true,0.9929982904681599,-901485.4062424204,908916.3745636967,-0.09950686560478061,-0.3402702580206096,8,false,0.018740273341026157,0.018740273341026157,true
2,true,3.636491231156601e-14,-901485.4062424204,908961.4919652815,0.0,2216.935490272008,1,true,0.033746981078857284,0.033746981078857284,true
1023,true,0.9980588434527582,-901482.4941111717,908770.0041614489,0.0023561696289107203,0.00754418910946697,10,false,0.002681142121207911,0.002681142121207911,true
1023,true,0.9994483136804115,-901466.9469901116,908809.6854669141,-0.006066684378311038,-0.02723022026475519,10,false,0.004988959721789234,0.004988959721789234,true
511,true,0.8543989240678446,-901462.4460677557,908857.4922087131,0.24943136633373797,0.3791863248916343,9,false,0.0094015724998497,0.0094015724998497,true
511,true,0.9971983106296795,-901522.1236644385,908924.4794924781,-0.3434066843474284,-0.44378532061818987,9,false,0.011245598219799468,0.011245598219799468,true
19,true,0.08684019119513346,-901522.939893677,908806.2092567433,3.575397234642878,1295.5647222190164,4,true,0.02109195027646248,0.02109195027646248,true
1023,true,0.9997076106740588,-901651.6276173698,908791.593737537,-0.006396987475454807,-0.047969906125217676,10,false,0.002304802509615948,0.002304802509615948,true
1023,true,0.9961666615144101,-901644.3806732867,908926.9783670735,-0.14309801813215017,-0.14947695063892752,10,false,0.004388320775995098,0.004388320775995098,true
511,true,0.9896531261439668,-901484.1090830609,908911.5736804177,0.006206972291693091,0.047109611914493144,9,false,0.008213167006845278,0.008213167006845278,true
255,true,0.9798668023989443,-901482.9131813255,908859.0043743303,0.04997427936177701,0.12075247254688293,8,false,0.01495605962673675,0.01495605962673675,true
5,true,0.17835333680877688,-901488.5892671705,908874.8242916674,0.7303330430295318,2291.903231494711,2,true,0.026223800828053423,0.026223800828053423,true
1023,true,0.9974502605404515,-901636.4775820409,908913.0188468865,-0.013888466288335621,-0.026566377258859575,10,false,0.0040977784991725035,0.0040977784991725035,true
511,true,0.9984107007209552,-901792.5987572437,909002.0238003181,-0.0344657733803615,-0.052966387709602714,9,false,0.007592994031135009,0.007592994031135009,true
255,true,0.48752659433309803,-901720.1571356907,909092.1085194584,0.638414190034382,1.7725152996135876,8,false,0.013974626497096488,0.013974626497096488,true
1023,true,0.9897593521848207,-901733.376490137,909168.309673544,-0.10086030990350991,-0.11545914073940367,10,false,0.005695890930401693,0.005695890930401693,true
511,true,0.8822970739044641,-901616.3231559293,909036.2789774509,0.01492834510281682,0.30392975185532123,9,false,0.010151024080519482,0.010151024080519482,true
255,true,0.9564430492486014,-901507.0931029832,908930.9620353094,-0.042546222801320255,0.14552060700953007,8,false,0.013146655054596182,0.013146655054596182,true
17,true,0.10334232950513532,-901514.7797735046,908973.5819949638,0.037923228344880044,1206.4354839542648,4,true,0.020955068008688394,0.020955068008688394,true
1023,true,0.9822326434570026,-901501.8773485778,908855.5965076307,0.03316168731544167,0.03965640300884843,10,false,0.0029568362785301902,0.0029568362785301902,true
