"state","t","begin","end","pollster","polltype","method","n_respondents","pct_clinton","n_clinton","pct_trump","n_trump","poll_day","index_s","index_p","index_m","index_pop","index_t"
"--",2016-03-04,2016-03-03,2016-03-06,"NBC","Registered Voters","Live phone component",1200,0.573033707865168,612,0.426966292134831,456,4,52,90,1,3,4
"--",2016-03-04,2016-03-03,2016-03-06,"ABC","Registered Voters","Live phone component",864,0.549450549450549,432,0.450549450549451,354,4,52,1,1,3,4
"--",2016-03-05,2016-03-04,2016-03-06,"Morning Consult","Registered Voters","Online poll",1516,0.547619047619048,697,0.452380952380952,576,5,52,85,2,3,5
"--",2016-03-07,2016-03-05,2016-03-09,"Ipsos","Registered Voters","Online poll",1594,0.592105263157895,717,0.407894736842105,494,7,52,65,2,3,7
"--",2016-03-11,2016-03-10,2016-03-12,"YouGov","Registered Voters","Online poll",1647,0.505882352941176,708,0.494117647058824,692,11,52,154,2,3,11
"--",2016-03-12,2016-03-11,2016-03-13,"Morning Consult","Registered Voters","Online poll",2978,0.55952380952381,1400,0.44047619047619,1102,12,52,85,2,3,12
"--",2016-03-14,2016-03-12,2016-03-16,"Ipsos","Registered Voters","Online poll",1437,0.531645569620253,604,0.468354430379747,532,14,52,65,2,3,14
"--",2016-03-18,2016-03-16,2016-03-21,"Quinnipiac","Registered Voters","Live phone component",1451,0.534883720930233,667,0.465116279069767,580,18,52,106,1,3,18
"--",2016-03-18,2016-03-17,2016-03-20,"Monmouth University","Registered Voters","Live phone component",848,0.558139534883721,407,0.441860465116279,322,18,52,83,1,3,18
"--",2016-03-18,2016-03-17,2016-03-20,"CBS","Registered Voters","Live phone component",1058,0.555555555555556,529,0.444444444444444,423,18,52,17,1,3,18
"--",2016-03-18,2016-03-17,2016-03-20,"CNN","Registered Voters","Live phone component",925,0.563829787234043,490,0.436170212765957,379,18,52,25,1,3,18
"--",2016-03-19,2016-03-18,2016-03-21,"Morning Consult","Registered Voters","Online poll",2001,0.542168674698795,900,0.457831325301205,760,19,52,85,2,3,19
"--",2016-03-20,2016-03-17,2016-03-23,"McLaughlin","Likely Voters","Online poll",1002,0.539325842696629,481,0.460674157303371,411,20,52,79,2,2,20
"--",2016-03-20,2016-03-19,2016-03-22,"Bloomberg","Likely Voters","Live phone component",815,0.6,440,0.4,293,20,52,15,1,2,20
