"AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
0.00517852079078162,0.0025399948306111,0.00331777995987487,0.00303607175276505,0.00148376139967293,0.00314285084998986,0.00165251637232156,0.00146403983996409,0.00158762992780798,0.00177782034191965,0.00138922810620153,0.00146666848933283,0.00358939516114671,0.0039094852373701,0.00173787363354354,0.00350954969545035,0.00380773629243745,0.00353197037780795,0.00184790042422063,0.00162215866507635,0.00125807365048365,0.00289277433824174,0.00279374866003079,0.00330167593836513,0.00330445810333802,0.00191679173003372,0.00359565486446259,0.00258122071544784,0.00388899786265908,0.00367854247812563,0.0028082320206402,0.00126929563367085,0.00210187809274105,0.00214927214098075,0.00129145088197183,0.00297069888580046,0.00379272535191368,0.00348138597284162,0.00272499082203495,0.0023143226903858,0.00219584770400439,0.00391514206136979,0.00312723621984545,0.00226586723011229,0.00333902664621881,0.00183666591467153,0.00262394861409989,0.00317078992515774,0.00321731230044028,0.00347297078307347,0.00389063243315916
0.0025399948306111,0.00506834633944239,0.00431216757163701,0.00142378496113762,0.00139820996933171,0.0017522116269732,0.00142272328870914,0.00139348974316798,0.0028300157502085,0.00231777202194716,0.00381722054738098,0.00145384961296909,0.00337272356460157,0.00326190335778054,0.00145596449050626,0.00379947820377823,0.00356421303169945,0.0039864824559845,0.00415744767903499,0.00132791506758448,0.00143566633388944,0.00286373761101505,0.0034043427536271,0.00293887906184408,0.00388199180805717,0.00417557781911832,0.00335225960610491,0.00435180701940981,0.0034236218722353,0.00315131637652162,0.00254658901818716,0.00129171423453731,0.00134075406789205,0.00132772504097647,0.00128506566340724,0.00351596764499616,0.00385450376374373,0.00270000726109189,0.00302910608145975,0.00157033826919995,0.00442984600797186,0.00352262695129408,0.00426372107408727,0.00137633743629358,0.00174254410274335,0.00307394894084739,0.00228106477980898,0.00181359766922123,0.00307393718433922,0.00392417240516768,0.00361344576994387
0.00331777995987487,0.00431216757163701,0.00500731301684694,0.00182387848144818,0.00137265628749986,0.00237633055209214,0.00148836322712413,0.00142573374131858,0.00268256679755194,0.00230397952369238,0.00331036097374567,0.00141568858980413,0.00380784096182282,0.00378126302753162,0.00167984291552066,0.00414544746048256,0.00406654351766167,0.00431598856138517,0.00376018255168746,0.00140322350999609,0.00137220396723666,0.0031374648708763,0.00357520885342607,0.00338434700746733,0.00414227526178325,0.003772013034862,0.00377963986107669,0.00427999250187328,0.00392599456084705,0.00362437464496929,0.00286274881714334,0.0012970190053938,0.00136168808856054,0.00141907758300897,0.00129278525133611,0.00372313559174596,0.0042158852339376,0.00325050804139703,0.00325117668406237,0.00189051632130449,0.00415599835295137,0.00403212684364444,0.00441482300843524,0.00136082328958764,0.00229054251720604,0.00301020584778559,0.00257485670612788,0.00238893132565686,0.00344354615901028,0.00422200260796707,0.00407756963749936
0.00303607175276505,0.00142378496113762,0.00182387848144818,0.00514685771888817,0.00320513687850657,0.00322283193912199,0.00296903521861661,0.00138671101665115,0.00216269068666549,0.00322152172671969,0.00127759916886561,0.00273317547086932,0.00260362452601202,0.0028617536958404,0.00325232263379241,0.00250453691092832,0.00238270052544025,0.00225606047634899,0.00138289314310513,0.00290279478873812,0.00143051277931803,0.00253976908567763,0.0026606957484657,0.00270286028378094,0.00231012087324455,0.00132889167431655,0.00248137163215057,0.00153603952413693,0.00241388257714074,0.00282579555119622,0.00262103084454952,0.00307197978278032,0.00331762617845319,0.00428369720069334,0.00307643035535451,0.00266518036432003,0.00234964583270885,0.0032058503938018,0.00288413277043847,0.00348304765007591,0.00141582607464065,0.00246827994210576,0.00184215024779073,0.00313794684981974,0.00301465309304232,0.00175370881869306,0.00230457959170507,0.00366204002182287,0.0028279784111318,0.00234893588225354,0.00241962365267669
0.00148376139967293,0.00139820996933171,0.00137265628749986,0.00320513687850657,0.00513098257933693,0.00171520738084174,0.00188373268571961,0.00196288386557132,0.00140179836771939,0.00200511095945199,0.00136481921914625,0.00400379515885468,0.0013267005380709,0.00134427479753922,0.00217270633894623,0.0013415728861435,0.00135750803908593,0.00135437932010222,0.00136872031275141,0.00203589354049468,0.00149595045166479,0.00138839685441004,0.00140290925296448,0.00140934218489785,0.00133762484250484,0.00148945693807508,0.00132771847426292,0.00137463169969188,0.00133929387512892,0.00134521538399956,0.00143398412614692,0.0029983733873609,0.00364833088451232,0.00345050929830282,0.00317642510717208,0.00139378979645193,0.00144729833688747,0.00146768866605793,0.00146256846533787,0.00200295671707021,0.00140316263137727,0.0013431046843106,0.00137066119592738,0.00332314948209158,0.00149329128662489,0.00137413739412319,0.00139579068588844,0.0019300040852562,0.00141082272631678,0.00134370053550535,0.00134315787792859
0.00314285084998986,0.0017522116269732,0.00237633055209214,0.00322283193912199,0.00171520738084174,0.004984132474306,0.00314659530973559,0.00136958766163231,0.00212722492028938,0.00222796379571981,0.00131399571820939,0.00138069086153708,0.00337357167954103,0.00353350668027792,0.00316163500702057,0.00316082620095814,0.00348162502722249,0.00296968973241063,0.00139101753359387,0.0034207317075034,0.00144603931094727,0.00311548549274656,0.00308240390073977,0.00382181829537192,0.00312692416929345,0.00138400022126728,0.00336085921572222,0.00214341856505894,0.00337423608517884,0.00366061357897987,0.00344871067802939,0.00252662787438342,0.00153469296293903,0.00230888386106302,0.00239239522553897,0.00320606871851632,0.00279926290210731,0.00392660603403504,0.00336525825406843,0.00350981519226963,0.00165457541549057,0.00329912750402699,0.00255867109687769,0.00155413577960762,0.00357900659135485,0.0030079033479959,0.00305392835665948,0.00411965079023915,0.00343993087488608,0.00291245898050422,0.00321928406312106
0.00165251637232156,0.00142272328870914,0.00148836322712413,0.00296903521861661,0.00188373268571961,0.00314659530973559,0.00514100166848936,0.00147270323636966,0.00364188206160463,0.00340437071112544,0.00133074396098996,0.00170514993784021,0.00274155750567461,0.00238110993861726,0.00399067100341264,0.00220833500541123,0.00200988499551282,0.00197230435553272,0.00138503097856119,0.00436409865853547,0.0026626664076448,0.00351586553008853,0.00320173782762064,0.00319800232795393,0.00232588458532641,0.00126782483642124,0.00275072638641966,0.00171603877207337,0.00222485678307963,0.0027011459923404,0.00377591888754715,0.00380607634737327,0.00181305210364346,0.00277113261833838,0.00342542868543027,0.00297225696983454,0.00137286261911451,0.00328713191955646,0.00359654924977475,0.00429096100704649,0.00153721097863609,0.00227042818838327,0.00159841248616868,0.00136483745817835,0.00241286502453933,0.00334726271391488,0.00373201948631533,0.00372878652895803,0.00330578289297954,0.00222675159878081,0.00214035835045019
0.00146403983996409,0.00139348974316798,0.00142573374131858,0.00138671101665115,0.00196288386557132,0.00136958766163231,0.00147270323636966,0.00501333759488015,0.00149482418838648,0.0013947801459872,0.00141162414737487,0.00161924816652244,0.00136403024949711,0.00138141570868374,0.00162587945902715,0.00136875758746548,0.00141249155108192,0.00139714316131894,0.00138191138160548,0.00182958781055304,0.00345947994239163,0.00132871346173406,0.00134774066533303,0.00133669817219644,0.00136023667806053,0.00132779399798894,0.00138246104258951,0.00137549210968306,0.00140999701016042,0.00135736256431645,0.00134634004221238,0.00226915940306408,0.00136859320752253,0.00138122996909232,0.0025313731142619,0.00131925262752957,0.00143150004350333,0.00133788505870242,0.00135715485532783,0.00143403005117509,0.00137302736601772,0.00141425224652997,0.0014020872789418,0.00137694345125669,0.00136520672750361,0.00145515359895829,0.00137275699109636,0.00134394604239722,0.00132509091045006,0.00138864915411078,0.00141899756953572
0.00158762992780798,0.0028300157502085,0.00268256679755194,0.00216269068666549,0.00140179836771939,0.00212722492028938,0.00364188206160463,0.00149482418838648,0.0051252803319081,0.00362544241877607,0.00277937179797726,0.00136967257166144,0.0032833814566634,0.00278079166699484,0.00367061397144585,0.00312809228910766,0.00249143368913467,0.0029437559830531,0.00299346525147188,0.00318189237321306,0.0028111004594264,0.00365586413269115,0.00399887792514851,0.00328763792462321,0.0032472788459091,0.00247482482416196,0.00308508733221847,0.00320036743699123,0.00268093111632666,0.00300120996167299,0.00360142416446949,0.00272474345164237,0.00139537201512206,0.00233714668589242,0.0026205666984369,0.00375801163988834,0.0019902785099317,0.00313899848318469,0.00399332979632191,0.00361077540847957,0.0031902149436187,0.00276920785257025,0.00282010472069333,0.00133402643762295,0.00204723718983043,0.00394209625622595,0.00356883754823766,0.00292117944501105,0.00365138245566707,0.00310854582024831,0.00265955344452473
0.00177782034191965,0.00231777202194716,0.00230397952369238,0.00322152172671969,0.00200511095945199,0.00222796379571981,0.00340437071112544,0.0013947801459872,0.00362544241877607,0.00502028689178105,0.00189288581524952,0.00193773056989723,0.00265684087601697,0.00251338725385577,0.00340065782184202,0.00267716960627857,0.00221184154271362,0.00256174419788439,0.00212047726063988,0.00277965934078022,0.00219644620286852,0.00317259699156719,0.00338512297035508,0.00271884380508384,0.0027068487059428,0.00179358369236791,0.00268930876187358,0.00257692670235617,0.00210274468205438,0.00258475869860787,0.0031425701879527,0.00319555618554825,0.00230178396671979,0.0033748585236613,0.00297348725308335,0.00320785192166932,0.00217728519382823,0.00322054132479848,0.0036226091605409,0.0035026958139003,0.00252964639120652,0.00235636066676162,0.00244703887890233,0.00171200425567409,0.00158711524420508,0.00290111970041651,0.00277842244799104,0.00300086484809477,0.00311127184270148,0.00286230288177298,0.00237283276073616
0.00138922810620153,0.00381722054738098,0.00331036097374567,0.00127759916886561,0.00136481921914625,0.00131399571820939,0.00133074396098996,0.00141162414737487,0.00277937179797726,0.00189288581524952,0.00509278777712954,0.00134651976013231,0.00230796316969159,0.00216731141094532,0.00145747511078867,0.00288855903960572,0.00242506158592804,0.00296395347847905,0.00425877892820154,0.00135983205188622,0.0019401802664306,0.00179724079177221,0.00273000778618941,0.00194911822695249,0.00296737904483727,0.00424240054506679,0.00207720693491449,0.00366190091743326,0.00227881383997231,0.00213123270324561,0.00151904284944357,0.00145746586602193,0.00144839688868908,0.00134424617266049,0.00147937295318516,0.00276708731574117,0.00271162523754122,0.00158330318361629,0.00228619135885487,0.00132919173717053,0.00392164409593245,0.00227372663138883,0.00338024281384582,0.00142679817147222,0.00136078947207205,0.00278598733144589,0.00138240252047463,0.00127675388119849,0.00211164383639673,0.00278949915159181,0.00234439560507911
0.00146666848933283,0.00145384961296909,0.00141568858980413,0.00273317547086932,0.00400379515885468,0.00138069086153708,0.00170514993784021,0.00161924816652244,0.00136967257166144,0.00193773056989723,0.00134651976013231,0.0050242144781249,0.00133683684970624,0.00134558348158288,0.00146244191648192,0.001354884564025,0.00138505516667778,0.00138181730552015,0.00144000988749217,0.00156222047736728,0.00137043291583301,0.00136484720708438,0.00134582781459625,0.00136228863539027,0.0013675607849443,0.00135598345993029,0.00135074573144058,0.0014053472718198,0.00139512621738419,0.00135736421154721,0.00137793036067141,0.00252511063780653,0.00399930415672567,0.00287895707219268,0.0023442576043439,0.00134743806215576,0.00138631237161099,0.00136258503661036,0.00135482196518133,0.00156209738168894,0.00142205152809447,0.00137697197640748,0.00141002261576044,0.00295472374238698,0.00136146895457083,0.00141338216346071,0.00138212749758539,0.00147459415808191,0.00134488099594664,0.00136595652518318,0.00139336071623772
